job title,company name,location,skills
,,,
Computer Vision & Deep Learning Developer,Fruitful Solutions -,"New Nozha, Cairo, Egypt ",Computer Vision & Deep Learning Developer
,,,
Applied Machine Learning Engineer / Computer Vision Scientist,412labs.com -,"Cairo, Egypt ",Entry Level
,,,
Senior AI / ML Engineer,Paxerahealth Corp -,"Smart Village, Giza, Egypt ", · IT/Software Development
,,,
Lead Data Scientist,Confidential -,"Cairo, Egypt ", · Engineering - Telecom/Technology
,,,
Senior Full Stack Java Developer,RDI -,"Dokki, Giza, Egypt ",Applied Machine Learning Engineer / Computer Vision Scientist
,,,
Enterprise Software Developer,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Experienced
,,,
Senior React Native Developer (Remote),skora tech -,"Cairo, Egypt ", · IT/Software Development
,,,
Senior Full Stack Software Engineer ( Python - React ),JRM for Communications -,"Nasr City, Cairo, Egypt ",Senior AI / ML Engineer
,,,
Graduate Research Intern,360Imaging -,"Dokki, Giza, Egypt ",Experienced
,,,
Data Scientist,Ibn Sina Pharma -,"Cairo, Egypt ", · IT/Software Development
,,,
Senior Java Back-End Developer (Remote),skora tech -,"Cairo, Egypt ", · Medical/Healthcare
,,,
CAD Drawing / CNC Operating Engineer - Beni Suef,PENCILIGHT -,"New Beni Suef, Beni Suef, Egypt ", · Engineering - Telecom/Technology
,,,
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Lead Data Scientist
,,,
Senior Ruby on Rails Developer,Remote Platz -,"Zurich, Switzerland ",Experienced
,,,
Administrative Assistant,ADC Egypt -,"Dokki, Giza, Egypt ", · IT/Software Development
